customer_id,subscription_tier,monthly_fee,tenure_months,num_transactions,avg_transaction_value,active_users,churned,customer_support_tickets,region,marketing_channel,monthly_revenue
1,Enterprise,50.0,2.0,79,26.86,29,0,5,Africa,Organic,1450
2,Basic,50.0,50.0,53,174.18,30,0,3,Asia,Referral,1500
3,Enterprise,250.0,6.0,338,318.29,10,1,0,Asia,Partnership,2500
4,Enterprise,100.0,9.0,310,39.17,39,0,6,Africa,Referral,3900
5,Basic,25.0,33.0,237,7.8,28,1,8,Africa,Referral,700
6,Basic,100.0,41.0,193,468.86,49,0,7,,Paid Ads,4900
7,Enterprise,100.0,,116,411.85,36,0,4,North America,Partnership,3600
8,Pro,50.0,48.0,93,405.55,13,0,18,Europe,Partnership,650
9,Enterprise,100.0,13.0,347,442.79,32,0,9,Asia,Partnership,3200
10,Enterprise,10.0,9.0,259,351.52,36,0,10,North America,Paid Ads,360
11,Enterprise,50.0,53.0,372,56.68,37,0,14,,,1850
12,Enterprise,10.0,13.0,450,202.55,26,0,5,Africa,Partnership,260
13,Basic,25.0,,30,362.96,22,0,14,Europe,Referral,550
14,Enterprise,50.0,41.0,205,143.77,4,0,4,,,200
15,Pro,25.0,11.0,187,345.27,31,0,18,North America,Partnership,775
16,Basic,50.0,4.0,426,17.13,18,0,18,,Organic,900
17,Pro,250.0,,484,156.54,38,0,9,Europe,Organic,9500
18,Pro,100.0,,16,276.82,24,0,11,North America,Partnership,2400
19,Pro,,46.0,79,317.88,23,0,3,Asia,Organic,5750
20,Pro,25.0,4.0,136,290.64,22,0,17,North America,Paid Ads,550
21,Basic,100.0,38.0,408,350.39,2,0,15,North America,Referral,200
22,Basic,50.0,19.0,475,8.01,31,1,7,North America,Paid Ads,1550
23,Pro,,6.0,169,54.97,11,1,3,,Referral,1100
24,Pro,10.0,,257,435.13,28,0,11,Africa,Organic,280
25,Basic,100.0,18.0,212,342.47,46,0,1,North America,Organic,4600
26,Basic,10.0,13.0,157,60.9,32,0,3,Europe,Partnership,320
27,Basic,100.0,41.0,481,421.83,5,0,4,Asia,Organic,500
28,Enterprise,10.0,23.0,152,124.9,38,1,2,,Organic,380
29,Enterprise,25.0,19.0,441,241.74,10,0,8,North America,Partnership,250
30,Enterprise,250.0,45.0,208,76.87,40,0,17,Europe,Partnership,10000
31,Pro,50.0,11.0,414,356.5,46,0,10,North America,Referral,2300
32,Enterprise,100.0,1.0,435,335.09,24,0,2,Asia,Organic,2400
33,Pro,250.0,24.0,163,109.5,35,0,1,Europe,Referral,8750
34,Pro,50.0,54.0,385,,44,0,8,Europe,Referral,2200
35,Enterprise,50.0,7.0,393,203.65,48,1,13,,Paid Ads,2400
36,Pro,10.0,25.0,151,149.79,23,0,3,North America,Organic,230
37,Enterprise,25.0,21.0,322,80.4,17,0,8,Africa,Organic,425
38,Enterprise,25.0,15.0,174,136.75,1,1,12,North America,Paid Ads,25
39,Basic,250.0,1.0,323,15.9,31,0,17,North America,,7750
40,Enterprise,,12.0,30,293.71,31,1,14,,Organic,775
41,Basic,100.0,58.0,91,421.9,42,1,9,,Referral,4200
42,,25.0,7.0,78,276.75,42,0,15,North America,Paid Ads,1050
43,Enterprise,250.0,15.0,140,113.54,34,0,11,Africa,Partnership,8500
44,Basic,25.0,21.0,96,21.67,9,0,19,Asia,Referral,225
45,Basic,100.0,19.0,227,111.24,22,1,4,Asia,Organic,2200
46,Enterprise,10.0,29.0,430,210.98,13,0,1,North America,Partnership,130
47,Pro,250.0,25.0,481,381.01,25,0,9,North America,Referral,6250
48,Basic,10.0,33.0,314,97.98,48,1,0,Africa,Referral,480
49,Pro,10.0,49.0,412,361.3,18,1,6,Africa,Partnership,180
